,umato_srho_0,pca_tnc_25,tsne_pr_0,umato_tnc_25,isomap_tnc_25,lle_pr_0,isomap_pr_0,tsne_tnc_25,umap_pr_0,umap_tnc_25,pca_pr_0,lle_tnc_25,umato_pr_0
letter_recognition,0.7357948974887091,0.87251496636197,0.7350208020687861,0.915847147865517,0.884315584724054,0.6926288755594731,0.75465699837499,0.963944539387184,0.636160808783179,0.9586544343874671,0.753937044319091,0.8716687800169731,0.690886607595804
user_knowledge_modeling,0.738822507683015,0.885033614496681,0.817502366807844,0.8860142592921141,0.8883238420606531,0.7280220229635721,0.7755435170676691,0.9323224152425651,0.63964284043356,0.9090434435042891,0.7704119322763661,0.880681238955996,0.714314008027598
dry_bean,0.759671372678808,0.999999439347603,0.650660899691196,0.9985669127259741,0.999975912326833,0.861641830253933,0.9999997748686891,0.9999128740737201,0.46091138815883104,0.9997520955720931,0.9999999998576011,0.9998950130328221,0.954775941201872
taiwanese_bankruptcy_prediction,0.6802882536372401,0.9051419801314411,0.679092670394687,0.9442160379779261,0.914430049386946,0.6161395011606831,0.72470763427463,0.977601731264896,0.445005053458882,0.97737956647154,0.7032006745896491,0.8986386596342001,0.696242402440116
breast_tissue,0.7703768641192731,0.999944505981138,0.90008640777518,0.8871101207198091,1.000102662775517,0.7919892733592361,0.9999997337372291,0.975498884895388,0.32781922314690704,0.957585880598091,0.9999997368488781,0.9626381715115581,0.49842420718601105
olivetti_faces,0.779343231414908,0.884982760345368,0.8682810089449571,0.8912603223114661,0.8886795536545171,0.802257448138149,0.829565247529897,0.9197341740128361,0.7523618148363981,0.908821697785924,0.8426399878178631,0.8772899063916191,0.795588300478661
htru2,0.898875233820682,0.9925379854184301,0.767361901192529,0.9931532179301701,0.9979974595411351,0.832116546153422,0.994008110256803,0.9977965049107511,0.761331308918272,0.997096004617907,0.99646042329168,0.9915627254668361,0.9204394723722641
glass_identification,0.697503505010848,0.9135423268181271,0.9646990717892231,0.9419756980007601,0.9365150508794711,0.9244485595200491,0.960198941351975,0.9638842128163201,0.6280743618084921,0.9398916453999381,0.9407277196535241,0.919875045926245,0.5625606924519181
planning_relax,0.5985965819087881,0.8424971246005001,0.82231167760734,0.848556235460973,0.859546295140959,0.718407987639322,0.7757876567199671,0.8944652420872191,0.605663211962805,0.861892962238286,0.765818117336428,0.8548578049043021,0.5187225772671881
mammographic_mass,0.970369295609223,0.9950866496666341,0.9493486491671931,0.980357755473201,0.9969655311328081,0.7024375584968191,0.9975745021266381,0.9976591389579991,0.9367987642584591,0.9953385678641571,0.9993178190580111,0.967763206482197,0.9684002122809031
ph_recognition,0.9560042017759651,0.985407183175342,0.9739321800940761,0.98355219269988,0.9846958812049731,0.9240709607296791,0.9700597789393771,0.9952028603575391,0.8408920981441901,0.9882513284073531,0.9746542406969041,0.9830499839269531,0.9524401455755471
durum_wheat_features,0.9249014658865521,0.9942638080700361,0.71838711541691,0.988228436462754,0.995709341158408,0.863210592817352,0.9993971549957131,0.996085727675839,0.831575447192275,0.9945301459052651,0.9998361445453641,0.991838211554069,0.9733620737909511
music_genre_classification,0.9804262556161971,0.998113934958573,0.9721720015668981,0.9920856335467471,0.9981563480215541,0.872631089675111,0.9999100394544641,0.997253345208255,0.9699648557835401,0.9966556794192821,0.9999208179194581,0.9645231504389981,0.9838839583677841
epileptic_seizure_recognition,0.593407036127353,0.6763148828773881,0.47406985469163404,0.733403689863653,0.754812869379699,0.619715088534425,0.678051657164037,0.78281844365953,0.087680785234891,0.7560863156027591,0.79215101843818,0.736007973657782,0.740887975235016
echocardiogram,0.729517478879073,0.9790751757214111,0.9166070172839371,0.8963030648519461,0.9853204277399931,0.8471233783265111,0.97330109903501,0.9825688610955031,0.926032359550191,0.956931792425293,0.9637910138946051,0.9326815330417281,0.5899284879819271
smoker_condition,0.911611572158678,0.9350033344384691,0.650078307761198,0.9679181529330511,0.9515948711770551,0.7208333253791971,0.9638365265958441,0.98151569214024,0.5770054709472711,0.97511673752281,0.964704214297432,0.9611012036245391,0.833890782731534
mobile_price_classification,0.915374730553948,0.9522642669070621,0.9373179986405641,0.955889964121246,0.9521656310791731,0.8550203041027291,0.966860155464168,0.9787406384975281,0.932942419533182,0.9759269979718931,0.9674853662404451,0.9497949951426171,0.9429073153926331
fraud_detection_bank,0.803683459869136,0.9646866555694971,0.094023823339497,0.9823228289919321,0.96613208188827,0.15140023952133302,0.9999970742298331,0.9932809565296151,0.163390708710032,0.989741852296621,0.9999997553970801,0.929235675820943,0.63086928621044
human_stress_detection,0.998954104342705,0.999995932721712,0.9988272757023101,0.9962861604755281,0.9974243925600351,0.8534636017464621,0.9999127457218341,0.999535513074799,0.8798994205128381,0.999678469026077,1.0,0.995532277847715,0.999278915556957
har,0.93356643351066,0.9217064020236481,0.941709799620917,0.951596828133866,0.9394929961958871,0.6522075243062331,0.959021836312487,0.9670764462911581,0.8656932456409341,0.956434538897553,0.9729070266212291,0.9371311208008911,0.9571315332303071
harbermans_survival,0.9044051437043851,0.9760241124580891,0.964250539840898,0.949583457177084,0.9764083923135851,0.9523477938155621,0.9919777338265291,0.9822408477566711,0.7571808536677971,0.977222745366746,0.9919643774851971,0.9783627221358441,0.7359354608234441
dermatology,0.94742353712778,0.994174373710701,0.984028757965084,0.9646553819705531,0.99575782398733,0.730386759759521,0.9974736935757821,0.993153932262071,0.9785883985090231,0.9928908170862251,0.99809628950401,0.9818808586962271,0.927607398725329
statlog_image_segmentation,0.843984059197399,0.95720837762844,0.65418896589446,0.9815662284875021,0.961084947099587,0.8609294168325591,0.8886124243917131,0.9922474830868151,0.539171828286197,0.9920875201793551,0.6779410288463631,0.9573694280951701,0.631070660350601
seeds,0.9093888734011261,0.999727017912548,0.9907569060257091,0.957985507646092,0.9997286791037641,0.8731966777239091,0.9998537797881071,0.997999427242866,0.9610891254248801,0.9938830603724231,0.9998526998800861,0.9850199241311921,0.9040097780952191
customer_classification,0.823363997495764,0.9743112881518431,0.5475736335268651,0.965590121728454,0.9748305308093581,0.827560804331649,0.9991880449217101,0.982455554296435,0.613806968560493,0.9784429728664751,0.9992487416130191,0.9128162375804411,0.769427633476621
crowdsourced_mapping,0.737071405943537,0.8790889158900931,0.759240556042681,0.906321226934882,0.8861502282901491,0.7426039162169691,0.803409119543916,0.9540759690174331,0.7302635975823311,0.9496693131343271,0.8050405240244131,0.877932057018852,0.7683776690795641
ionosphere,0.874369039237155,0.8982375157180601,0.874822280644114,0.894545665688356,0.910741119109396,0.621400192519286,0.739279824068651,0.9269298807458851,0.5456669348231631,0.894731832942225,0.674280503957102,0.8900861781027031,0.8278717820720851
patient_treatment_classification,0.953657176612217,0.99633358924474,0.8565264883936341,0.9908463976122921,0.9964721192907271,0.7817226772008581,0.9997135438263781,0.9964319519190951,0.8713362295588231,0.9953601701558271,0.99974189872352,0.9853976583493541,0.850887173830397
mnist64,0.7118265951251951,0.9106266948222931,0.729671097639025,0.9593331410944351,0.9627913418015931,0.549943134211833,0.7074225197913441,0.9876024261902291,0.649008012005555,0.9849152440564071,0.6987496744049521,0.9245387872217551,0.7360983763860961
heart_attack_analysis_prediction_dataset,0.8148438342306831,0.9681122307148151,0.9233356107372661,0.9011439487089531,0.9685228876659151,0.8619504863110181,0.9835736987951971,0.969638841369006,0.8097428510457051,0.963309708697699,0.9835995990280181,0.954621204831515,0.841571065320156
raisin,0.9856071615259401,0.9999996906419181,0.8653907369494651,0.9937523067681571,0.9997699862673051,0.86412502240065,0.9999950133886221,0.999651288834667,0.7882621486868641,0.9991827280232841,0.999999999910238,0.9995799937043881,0.9850102089431141
date_fruit,0.9813179767649911,0.9957604881633151,0.904799341571037,0.981777045086422,0.995740998767708,0.753237786202092,0.999730930489597,0.9950645393751091,0.9213846169497361,0.9941219089047161,0.9997398855613091,0.9591921301678921,0.9720496513995631
wine,0.90366991061207,0.999976725505566,0.9797783981121041,0.9859013932589181,0.9999823434966211,0.6340788248533471,0.999999060176857,0.9983650326141611,0.9214515998504741,0.997299010931961,0.9999990588072171,0.9598250634140121,0.8812837647381021
secom,0.7250080559566591,0.8810097205652391,0.629992405094712,0.9086705256507891,0.8742698389587301,0.635124851330036,0.624849603800495,0.9366486073824781,0.5916763578466601,0.9265064978372181,0.5794963992230311,0.8323036070531781,0.711264468089125
breast_cancer_wisconsin_original,0.9297858309380921,0.9192623327947801,0.9030936506321611,0.9347146816478611,0.9282453600362711,0.7800957391800991,0.972873085667683,0.9589512642240711,0.832068863537445,0.9420481163186011,0.9720893237011371,0.9075974693805031,0.944709491697564
rice_seed_gonen_jasmine,0.989273392456236,0.999881429244703,0.967283123931542,0.99776009519365,0.9990377095903391,0.8689481130433321,0.9998239568678221,0.99940428878354,0.811331809292369,0.9992394437250651,0.9999997817903401,0.998646202543616,0.986656377196032
turkish_music_emotion,0.877867755996485,0.985624282960982,0.983463101195244,0.9638426575298291,0.9855685517224491,0.732534879409869,0.9959923368838811,0.98729805867766,0.967452362216864,0.9828896949793611,0.995964407920736,0.9435739596722681,0.954097017021278
imdb,0.503607755589904,0.5253637982807,0.610970209335986,0.627324109765634,0.597140777327831,0.031606999048694004,0.176984751404398,0.659647642607863,0.09430859882360701,0.5875145627380101,-0.012924441789824001,0.45681330337352305,0.46395783520222805
hepatitis,0.658107687881062,0.9723009347682361,0.955426669778288,0.9291988660591891,0.9727183469669971,0.9458878302936511,0.9898931105681461,0.9689028785796481,0.69514498618949,0.9348704490040171,0.989947645861139,0.9595895063642901,0.524528337693826
website_phishing,0.7859296525635421,0.922603415997539,0.7649237474707731,0.9631219921847771,0.9183775139364541,0.770136440463956,0.775484976535842,0.9826141832070341,0.527201156146765,0.974416682849615,0.795422924999981,0.9451631390544051,0.778100645609609
extyaleb,0.951405365808039,0.97272739285369,0.9698633622025421,0.968450409856987,0.9738498034658791,0.968057026230657,0.9739526500428121,0.9768118363618771,0.9264766165693291,0.9734029088968201,0.9727603237580611,0.972203104020611,0.941265044352053
weather,0.7914632462387,0.9527481690594121,0.8387896617491941,0.993141261498628,0.9899409113984661,0.779359246949159,0.7710264195938781,0.9983647071992271,0.751053381514718,0.99671412195046,0.7100129043572101,0.9892729963375031,0.826641070095777
cnae9,0.695217056882594,0.759165851592793,0.6548425707793311,0.7610804376158241,0.7606060384703781,0.347954158515266,0.325073546436137,0.821007505213556,0.167347854940048,0.8134550732355821,0.28468152541616404,0.7436441887415931,0.7249866839269521
wine_quality,0.9602081685420031,0.9948382607557171,0.9440373924091101,0.9832351244958941,0.9953343991474101,0.805216633371695,0.9994808167893471,0.995260695357791,0.9068394253491411,0.99379107905049,0.999184010120827,0.9887662045870621,0.9443050179218501
pumpkin_seeds,0.9835327292364711,0.999993160040023,0.9376676330364011,0.998433156513109,0.9998823949191711,0.8911523384440131,0.9999884871015641,0.999820673505555,0.737362449376012,0.9996361944982741,0.9999999878063941,0.999762563004657,0.9824168315371491
cardiovascular_study,0.8904144557667151,0.9370024249019351,0.7793341579965131,0.9403675537081141,0.9424872793083551,0.9376723154809451,0.9367294378804841,0.9629327998951911,0.7573361173148251,0.9581636888060291,0.9575639607629971,0.940623849209912,0.8459024420315441
fetal_health_classification,0.9245466572535641,0.9628357994968081,0.852300309321915,0.9673668178324241,0.965373813740184,0.838629326340337,0.967488631787572,0.9838641455796051,0.847057129960843,0.9814548668605001,0.9580889483637791,0.9549533321272511,0.9200661626843881
statlog_german_credit,0.8978801280112171,0.967051353412095,0.816392067859093,0.957700599453127,0.9670737221530281,0.8409000571252381,0.9904963417413281,0.9832204128964,0.8228587413184221,0.981484750938119,0.991206606926306,0.95981098366653,0.9309588873126451
credit_risk_classification,0.9672448331922681,0.99995093327114,0.8281049025118871,0.991558232556855,0.9976184136915681,0.951656924649608,0.998603665085496,0.9983013129094791,0.61794530592894,0.9981570330467511,0.999999999163496,0.9964044423866831,0.9321192690611101
diabetic_retinopathy_debrecen,0.9683113794869901,0.9949822565459461,0.8622231978201701,0.9906508828134051,0.995167376205319,0.9677324495132671,0.996984465907884,0.994727423220063,0.7897594253208641,0.993821701719755,0.9969498479248731,0.9929044756803921,0.94159271198754
paris_housing_classification,0.9993910730168081,0.9999989041794081,0.9979470117781191,0.998202980733445,0.9999965749235471,0.9999989068520371,0.9999999970414201,0.9998206623575301,0.801343437394838,0.9997303718014001,0.9999999993163871,0.9997554168079781,0.999713340966308
labeled_faces_in_the_wild,0.6400932784804231,0.8221221386951271,0.7357951581866631,0.813742898859072,0.8155146763913851,0.6929480706394671,0.677131385995936,0.8530147565589481,0.579424536639356,0.8207452556168261,0.694981804955041,0.8183641768095961,0.653633758402413
rice_dataset_cammeo_and_osmancik,0.989527750134334,0.9999840825538411,0.9586690454572221,0.9976881952292731,0.9999691029354961,0.9008596661792121,0.999999182408365,0.9992957975844701,0.8446023976614241,0.9993401487391781,0.999999952173899,0.9985823045127781,0.9845491804439631
world12d,0.8377583845840011,0.997402039788389,0.990666504295129,0.9644083413503641,0.9984999349988701,0.8460483141379631,0.999986171093404,0.988336457096557,0.234287584819088,0.9689337302742321,0.999985441302458,0.9090570337337701,0.6128101108925591
siberian_weather_stats,0.9579914805557921,0.9881394246731571,0.9216838191469101,0.9861701019446251,0.9873716829411481,0.7023359595542921,0.995094861262317,0.996269316381256,0.8714915497376691,0.9953863452843441,0.998932016284615,0.9928200016921471,0.963629583639331
pen_based_recognition_of_handwritten_digits,0.8412345878792711,0.9346904000334181,0.779611158957436,0.9814641595856731,0.958068165885232,0.678974573212346,0.8335118179924831,0.992303766346713,0.756933703401077,0.990771567047214,0.8268605739263271,0.891379787866244,0.8321244371717571
