dataset,dc_5,nc_3,nc_5,nc_10,nc_25,nc_30,nc_50,nc_75
fetal_health_classification,0.469098998897908,0.468288599743908,0.614789427121832,0.7957132048365011,0.795182051057146,0.7956958340457281,0.823002857352617,0.8331086417803101
statlog_german_credit,0.718079259331566,0.31371134198153,0.500482876733297,0.810201497358447,0.810201497358447,0.810201497358447,0.8509706515771851,0.862619704638046
credit_risk_classification,0.838886722372795,0.612552971050767,0.749462312382818,0.914353407270269,0.914353407270269,0.914353407270269,0.923674739585784,0.9191768931370131
diabetic_retinopathy_debrecen,0.5856542051819801,0.0,0.553278246754022,0.8243274624070981,0.8243274624070981,0.8243274624070981,0.8614187785579611,0.8762060460413481
paris_housing_classification,0.7064882676128761,0.540253638039902,0.713737584722965,0.903586133497793,0.905358615080823,0.9046234230773611,0.9461606669808611,0.9594464167763471
labeled_faces_in_the_wild,0.16556402614531301,0.0,0.139762284354003,0.34278978110650804,0.34444528050570705,0.343267548998242,0.421978830649721,0.45502065016820203
rice_dataset_cammeo_and_osmancik,0.7363630406736961,0.48776720921952005,0.671117019296955,0.8890136469029191,0.889406642600799,0.889207869560499,0.915389721925107,0.932574310662002
world12d,2.623927409712131,0.46769869582169704,0.6476800843124061,0.8769424923165611,0.8769424923165611,0.8769424923165611,0.8996047926662121,0.902093812068618
siberian_weather_stats,0.7024435893018911,0.409445524996198,0.5723825369073381,0.8234798522876641,0.8234798522876641,0.8234798522876641,0.8633170223524481,0.8779287788323751
pen_based_recognition_of_handwritten_digits,0.274306809750447,0.34950460512693504,0.5268431342436191,0.7870835210298821,0.7873040382197061,0.7872032500768931,0.8279395909978181,0.8446527515869021
cifar10,0.25609731498778204,0.0,0.17054719577545902,0.36768878446124004,0.36669206388539305,0.36845987886166304,0.43502171626398406,0.47194378598839204
pima_indians_diabetes_database,0.8230456871045221,0.343618594636241,0.514251067011648,0.796386115960231,0.796386115960231,0.796386115960231,0.841834988511285,0.8574924118802261
sentiment_labeld_sentences,0.13447960998551,0.0,0.45436461364673103,0.35341706033103604,0.35928522817024805,0.35928420818622603,0.287259542367715,0.26107405497033404
magic_gamma_telescope,0.592120753490332,0.0,0.47700823652969904,0.7587165012412591,0.7534150104068521,0.75478624168197,0.7959362353471381,0.8122332625339921
iris,0.6417031967682421,0.43921648967506605,0.599628401001786,0.8483950350617131,0.8483950350617131,0.8483950350617131,0.899617259551847,0.9257070887508541
orbit_classification_for_prediction_nasa,0.37654457656030804,0.37608908481136205,0.5571252813548281,0.840552945398187,0.840552945398187,0.840552945398187,0.8772453425271711,0.8885056579740891
